"id_rez";"id_gosc";"id_pok";"data_przyjazdu";"data_wyjazdu";"status_rezerwacji"
118;80;28;10.8.2024 00:00:00;15.8.2024 00:00:00;"Oczekuj¹ca"
119;122;15;20.8.2024 00:00:00;25.8.2024 00:00:00;"Potwierdzona"
120;139;37;1.9.2024 00:00:00;5.9.2024 00:00:00;"Oczekuj¹ca"
121;26;6;10.9.2024 00:00:00;15.9.2024 00:00:00;"Anulowana"
122;56;32;20.9.2024 00:00:00;25.9.2024 00:00:00;"Potwierdzona"
123;86;19;1.10.2024 00:00:00;5.10.2024 00:00:00;"Potwierdzona"
124;129;9;10.10.2024 00:00:00;15.10.2024 00:00:00;"Oczekuj¹ca"
125;10;27;20.10.2024 00:00:00;25.10.2024 00:00:00;"Anulowana"
126;112;16;1.11.2024 00:00:00;5.11.2024 00:00:00;"Potwierdzona"
127;142;38;10.11.2024 00:00:00;15.11.2024 00:00:00;"Oczekuj¹ca"
128;32;11;20.11.2024 00:00:00;25.11.2024 00:00:00;"Anulowana"
129;62;34;1.12.2024 00:00:00;5.12.2024 00:00:00;"Potwierdzona"
130;92;21;10.12.2024 00:00:00;15.12.2024 00:00:00;"Potwierdzona"
131;135;39;20.12.2024 00:00:00;25.12.2024 00:00:00;"Oczekuj¹ca"
132;15;13;1.1.2025 00:00:00;5.1.2025 00:00:00;"Anulowana"
133;45;24;10.1.2025 00:00:00;15.1.2025 00:00:00;"Potwierdzona"
134;75;40;20.1.2025 00:00:00;25.1.2025 00:00:00;"Potwierdzona"
135;120;36;1.2.2025 00:00:00;5.2.2025 00:00:00;"Oczekuj¹ca"
136;38;23;10.2.2025 00:00:00;15.2.2025 00:00:00;"Anulowana"
137;68;26;20.2.2025 00:00:00;25.2.2025 00:00:00;"Potwierdzona"
138;98;31;1.3.2025 00:00:00;5.3.2025 00:00:00;"Potwierdzona"
139;127;33;10.3.2025 00:00:00;15.3.2025 00:00:00;"Oczekuj¹ca"
140;21;29;20.3.2025 00:00:00;25.3.2025 00:00:00;"Anulowana"
141;51;30;1.4.2025 00:00:00;5.4.2025 00:00:00;"Potwierdzona"
142;81;35;10.4.2025 00:00:00;15.4.2025 00:00:00;"Oczekuj¹ca"
143;131;10;20.4.2025 00:00:00;25.4.2025 00:00:00;"Anulowana"
144;27;2;1.5.2025 00:00:00;5.5.2025 00:00:00;"Potwierdzona"
145;39;25;10.5.2025 00:00:00;15.5.2025 00:00:00;"Potwierdzona"
146;57;17;20.5.2025 00:00:00;25.5.2025 00:00:00;"Oczekuj¹ca"
147;69;5;1.6.2025 00:00:00;5.6.2025 00:00:00;"Anulowana"
148;87;18;10.6.2025 00:00:00;15.6.2025 00:00:00;"Potwierdzona"
149;99;7;20.6.2025 00:00:00;25.6.2025 00:00:00;"Potwierdzona"
150;134;14;1.7.2025 00:00:00;5.7.2025 00:00:00;"Oczekuj¹ca"
