Data	kategoria 	kwota
11.08.2022	spożywcze	324
13.08.2022	rozrywka	230
15.08.2022	kredyt	1300
16.08.2022	spożywcze	130
17.08.2022	środki czystości	230
18.08.2022	spożywcze	260
19.08.2022	spożywcze	20
20.08.2022	specjalne	6000
25.08.2022	spożywcze	430
26.08.2022	sport i kultura	150
27.08.2022	spożywcze	30
29.08.2022	spożywcze	10
30.08.2022	spożywcze	40
31.08.2022	spożywcze	30
